Temps (s),Depl (mm),Force (kN),Jauge 0,Jauge 1,Jauge 2,Jauge 3
0.39355,1.935,0.552393,-0.000431,-6.7e-05,-0.002015,-0.000454
1.653507,1.935,0.117402,-0.000433,-7.6e-05,-0.002009,-0.000458
2.904125,1.935,-0.183621,-0.00043,-7.4e-05,-0.002019,-0.000457
5.419966,1.935,-0.034381,-0.000428,-7.2e-05,-0.002013,-0.000455
6.670311,1.935,0.098668,-0.000432,-8e-05,-0.00201,-0.000459
9.186104,1.935,0.028134,-0.000432,-7.7e-05,-0.002011,-0.000459
10.435587,1.935,0.092032,-0.000432,-7.8e-05,-0.002015,-0.000459
12.95121,1.936,0.077179,-0.000436,-7.8e-05,-0.00201,-0.000461
15.466542,1.938,0.142552,-0.000436,-7e-05,-0.002005,-0.00046
16.717554,1.943,0.335005,-0.000434,-6e-05,-0.002009,-0.000457
19.23294,1.951,0.41878,-0.000429,-6.3e-05,-0.00201,-0.000459
20.498842,1.954,0.380833,-0.000435,-6.9e-05,-0.002003,-0.00046
23.014695,1.963,0.613461,-0.000442,-6.6e-05,-0.002005,-0.000465
25.544409,1.978,0.812133,-0.000451,-6e-05,-0.002,-0.000469
26.811196,1.98,0.889833,-0.000454,-5.6e-05,-0.002006,-0.000468
27.078308999999997,2.037,2.351085,-0.000492,-3.8e-05,-0.001993,-0.000484
28.334902,2.037,2.348332,-0.000491,-3.4e-05,-0.001992,-0.000483
29.585421,2.037,2.607392,-0.000491,-3.3e-05,-0.001996,-0.000482
32.100139999999996,2.037,2.377251,-0.00049,-2.9e-05,-0.001992,-0.000479
33.366082,2.037,2.266859,-0.000487,-2.8e-05,-0.001994,-0.000481
35.881665999999996,2.037,2.26758,-0.000487,-2.4e-05,-0.001991,-0.00048
38.382414,2.033,3.488616,-0.000477,-1.5e-05,-0.00199,-0.000471
39.647296999999995,2.033,2.080926,-0.000477,-1e-05,-0.001992,-0.00047
42.148392,2.04,2.490406,-0.000486,-1.6e-05,-0.001995,-0.000479
43.397422,2.04,2.509452,-0.000492,-2.3e-05,-0.001991,-0.000483
45.913274,2.041,2.455317,-0.0005,-3.3e-05,-0.001994,-0.000493
48.413019,2.042,2.660005,-0.000501,-3.5e-05,-0.001995,-0.00049
49.663436,2.043,2.672053,-0.000501,-3.6e-05,-0.001994,-0.00049
52.195004999999995,2.044,2.570829,-0.000507,-3.5e-05,-0.001996,-0.000493
53.460077,2.044,2.700659,-0.000506,-3.5e-05,-0.001989,-0.000493
55.975347,2.045,2.9281,-0.000504,-3.1e-05,-0.00199,-0.000493
58.492093,2.046,2.878963,-0.000501,-2.5e-05,-0.001989,-0.000487
59.740961999999996,2.047,2.874454,-0.000502,-2.4e-05,-0.001982,-0.000489
62.24135199999999,2.048,3.042572,-0.000502,-2.2e-05,-0.001983,-0.000483
63.490937,2.049,3.506081,-0.000505,-1.8e-05,-0.001986,-0.000485
65.991651,2.05,2.719185,-0.000505,-1.5e-05,-0.001988,-0.000489
68.49092,2.052,2.908726,-0.000505,-2e-05,-0.00199,-0.000491
69.741079,2.052,3.065268,-0.000506,-1.8e-05,-0.00199,-0.00049
72.24157699999999,2.053,2.972898,-0.000505,-1.7e-05,-0.001991,-0.000488
73.50739,2.054,3.110124,-0.000505,-1.7e-05,-0.001988,-0.000486
76.007467,2.055,2.95876,-0.000506,-1.5e-05,-0.001987,-0.000486
78.507311,2.056,3.096139,-0.000512,-2e-05,-0.001989,-0.00049
79.757404,2.057,2.965571,-0.000514,-2.2e-05,-0.001984,-0.000492
82.257262,2.058,3.253875,-0.000514,-2.4e-05,-0.001983,-0.000496
83.506633,2.058,1.673424,-0.000514,-2.6e-05,-0.001986,-0.000496
86.023008,2.06,3.233747,-0.000516,-2.4e-05,-0.001992,-0.000497
87.274023,2.06,3.321994,-0.000516,-2.5e-05,-0.001983,-0.000498
89.77278,2.062,3.244766,-0.00052,-2.4e-05,-0.001983,-0.000497
92.27339099999999,2.063,3.57436,-0.000524,-2.5e-05,-0.001987,-0.0005
93.52257399999999,2.064,3.562237,-0.000527,-2.5e-05,-0.001987,-0.000503
97.288522,2.065,3.86044,-0.000526,-3e-05,-0.001982,-0.000506
99.80449,2.067,3.517323,-0.000527,-2.3e-05,-0.001987,-0.000503
102.33545099999999,2.068,3.541743,-0.00053,-2.5e-05,-0.00198,-0.000505
103.60137999999999,2.069,3.57844,-0.000531,-3.2e-05,-0.001986,-0.000495
106.10143,2.07,3.683383,-0.000532,-2.8e-05,-0.001993,-0.000491
107.366309,2.071,3.441951,-0.00053,-2.8e-05,-0.001996,-0.000492
