Temps (s),Depl (mm),Force (kN),Jauge 0,Jauge 1,Jauge 2,Jauge 3
0.266835,8.834,0.317233,0.001523,0.000323,-0.002035,-0.000531
1.511645,8.834,0.094923,0.001521,0.000324,-0.002034,-0.000531
2.777265,8.834,0.008751,0.001518,0.000324,-0.002034,-0.00053
5.29302,8.834,-0.058665,0.001516,0.000321,-0.002032,-0.000528
6.557911,8.834,-0.00643,0.001515,0.000325,-0.002036,-0.000529
9.072912,8.835,0.04497,0.001503,0.00032,-0.00203,-0.000535
11.588525,8.837,-0.030828,0.001493,0.000318,-0.002031,-0.000537
12.839378,8.837,-0.09026,0.001495,0.00032,-0.002035,-0.000536
15.355526,8.838,0.085389,0.001489,0.000317,-0.002026,-0.000537
16.604828,8.839,0.079669,0.001489,0.000317,-0.002031,-0.000535
19.136102,8.84,-0.034829,0.001486,0.00032,-0.002033,-0.000534
21.653617,8.842,0.054426,0.001483,0.000323,-0.002026,-0.000529
22.918155,8.843,-0.063193,0.001483,0.000325,-0.002032,-0.000528
25.448147,8.844,0.706707,0.00148,0.000326,-0.002025,-0.000529
26.698262,8.845,-0.242911,0.001478,0.000327,-0.002033,-0.000527
29.215605,8.847,0.008305,0.001476,0.000326,-0.002029,-0.000528
30.479374,8.849,-0.123066,0.00148,0.000328,-0.00203,-0.000525
32.979838,8.85,-0.0955,0.001475,0.000337,-0.002031,-0.000518
35.49605,8.852,-0.177427,0.001469,0.000333,-0.00203,-0.000524
36.760695,8.853,1.483608,0.001463,0.000332,-0.002032,-0.000527
39.260642,8.855,-0.047169,0.001466,0.000334,-0.002032,-0.000522
40.510768,8.856,-0.18683,0.001458,0.000332,-0.002026,-0.000525
43.027038,8.857,-0.249355,0.001454,0.00033,-0.002025,-0.000527
45.54309,8.859,-0.053121,0.001453,0.000333,-0.002031,-0.000525
46.808257,8.86,1.685685,0.001457,0.000332,-0.002025,-0.000527
49.323878,8.861,0.542626,0.001447,0.00033,-0.00203,-0.000531
50.573153,8.861,0.099674,0.001446,0.000327,-0.002027,-0.000533
